source,target,directedness,relation,weight
1000001,1000002,undirected,marriage,
1000001,1000125,undirected,sibling,
1000131,1000125,undirected,sibling,
1000128,1000125,directed,parent-child,
1000128,1000231,undirected,marriage,
1000004,1000005,directed,parent-child,
1000004,1000006,undirected,marriage,
1000007,1000008,undirected,sibling,
1000007,1000009,undirected,sibling,
1000008,1000009,undirected,sibling,
1000128,1000125,directed,parent-child,
1000010,1000011,directed,parent-child,
1000010,1000232,directed,parent-child,
1000232,1000012,directed,parent-child,
1000014,1000015,undirected,sibling,
1000014,1000131,undirected,marriage,
1000125,1000131,undirected,sibling,
1000125,1000127,undirected,sibling,
1000017,1000018,directed,parent-child,
1000017,1000020,directed,parent-child,
1000027,1000022,directed,parent-child,
1000027,1000026,directed,parent-child,
1000027,1000021,undirected,marriage,
1000017,1000019,directed,parent-child,
1000032,1000033,directed,parent-child,
1000032,1000034,directed,parent-child,
1000034,1000035,directed,parent-child,
1000034,1000036,directed,parent-child,
1000034,1000037,directed,parent-child,
1000033,1000034,undirected,sibling,
1000038,1000039,directed,parent-child,
1000038,1000040,undirected,marriage,
1000040,1000039,directed,parent-child,
1000041,1000042,directed,parent-child,
1000026,1000028,directed,parent-child,
1000050,1000051,directed,parent-child,
1000050,1000052,directed,parent-child,
1000050,1000054,directed,parent-child,
1000051,1000052,undirected,sibling,
1000054,1000051,undirected,sibling,
1000054,1000052,undirected,sibling,
1000043,1000044,undirected,sibling,
1000051,1000055,directed,parent-child,
1000044,1000046,directed,parent-child,
1000043,1000233,directed,parent-child,
1000045,1000233,directed,parent-child,
1000233,1000164,undirected,marriage,
1000087,1000086,directed,parent-child,
1000087,1000095,directed,parent-child,
1000087,1000100,directed,parent-child,
1000086,1000088,directed,parent-child,
1000086,1000092,directed,parent-child,
1000092,1000094,directed,parent-child,
1000088,1000090,directed,parent-child,
1000088,1000091,directed,parent-child,
1000100,1000102,directed,parent-child,
1000097,1000105,directed,parent-child,
1000097,1000106,directed,parent-child,
1000097,1000104,undirected,marriage,
