id,last_name,first_name,birth_yr,death_yr,profession,imdb_id,wiki
1000001,Agnihotri,Alvira Khan,1969,,producer/other,nm2655625,https://en.wikipedia.org/wiki/Alvira_Khan_Agnihotri
1000002,Agnihotri,Atul,1970,,producer/director/actor,nm0013158,
1000003,Agnihotri,Rati,1960,,actor,nm0013159,https://en.wikipedia.org/wiki/Rati_Agnihotri
1000004,Ahuja,Arun,1917,1998,actor,,
1000005,Ahuja,Govinda,1963,,actor,nm0332871,https://en.wikipedia.org/wiki/Govinda_Ahuja
1000006,Ahuja,Nirmala,1927,1996,singer/actor,nm0222469,
1000007,Anand,Dev,1923,2011,actor,nm0007147,https://en.wikipedia.org/wiki/Dev_Anand
1000008,Anand,Chetan,1915,1997,director,nm0025608,https://en.wikipedia.org/wiki/Chetan_Anand
1000009,Anand,Vijay,1934,2004,director/producer/actor,nm0025629,https://en.wikipedia.org/wiki/Vijay_Anand
1000010,Anand,Inder Raj,,1987,writer,nm0025613,https://en.wikipedia.org/wiki/Inder_Raj_Anand
1000011,Anand,Tinnu,1953,,actor/director,nm0025627,https://en.wikipedia.org/wiki/Tinnu_Anand
1000012,Anand,Siddharth,,,director,nm1893457,https://en.wikipedia.org/wiki/Siddharth_Anand
1000013,Anand,Mukul,1951,1997,director,nm0002172,https://en.wikipedia.org/wiki/Mukul_Anand
1000014,Arora,Malaika,1973,,actor,nm0037019,https://en.wikipedia.org/wiki/Malaika_Arora
1000015,Arora,Amrita,1978/1981,,actor,nm1147677,https://en.wikipedia.org/wiki/Amrita_Arora
1000016,Azeem,Neelima,1958,,actor,nm1201873,https://en.wikipedia.org/wiki/Neelima_Azeem
1000017,Babbar,Raj,1952,,actor,nm0044796,https://en.wikipedia.org/wiki/Raj_Babbar
1000018,Babbar,Arya,1982,,actor,nm1191646,https://en.wikipedia.org/wiki/Arya_Babbar
1000019,Babbar,Juhi,1979,,actor,nm1318320,https://en.wikipedia.org/wiki/Juhi_Babbar
1000020,Babbar,Prateik,1986,,actor,nm3070408,https://en.wikipedia.org/wiki/Prateik_Babbar
1000021,Bachchan,Harivansh Rai,1907,2003,poet,nm0045394,https://en.wikipedia.org/wiki/Harivansh_Rai_Bachchan
1000022,Bachchan,Amitabh,1942,,actor/producer,nm0000821,https://en.wikipedia.org/wiki/Amitabh_Bachchan
1000023,Bachchan,Jaya,1948,,actor/politician,nm0080149,https://en.wikipedia.org/wiki/Jaya_Bachchan
1000024,Bachchan,Abhishek,1976,,actor,nm0045393,https://en.wikipedia.org/wiki/Abhishek_Bachchan
1000025,Bachchan,Aishwarya Rai,1973,,actor/model,nm0706787,https://en.wikipedia.org/wiki/Aishwarya_Rai_Bachchan
1000026,Bachchan,Ajitabh,1947,,business,,https://en.wikipedia.org/wiki/Ajitabh_Bachchan
1000027,Bachchan,Teji,1914,,social activist,,https://en.wikipedia.org/wiki/Teji_Bachchan
1000028,Bachchan,Naina,0,,banker,,
1000029,Bali,Yogeeta,1952,,actor,nm0050197,https://en.wikipedia.org/wiki/Yogeeta_Bali
1000030,Bali,Geeta,1930,1965,actor,nm0050188,https://en.wikipedia.org/wiki/Geeta_Bali
1000031,Bharti,Divya,1974,1993,actor,nm0080251,https://en.wikipedia.org/wiki/Divya_Bharti
1000032,Bhatt,Nanabhai,,,,nm0080320,https://en.wikipedia.org/wiki/Nanabhai_Bhatt
1000033,Bhatt,Mukesh,,,producer,nm0080319,https://en.wikipedia.org/wiki/Mukesh_Bhatt
1000034,Bhatt,Mahesh,1948,,director,nm0080315,https://en.wikipedia.org/wiki/Mahesh_Bhatt
1000035,Bhatt,Pooja,1972,,actor,nm0080324,https://en.wikipedia.org/wiki/Pooja_Bhatt
1000036,Bhatt,Alia,1993,,actor,nm1017633,https://en.wikipedia.org/wiki/Alia_Bhatt
1000037,Bhatt,Shaheen,,,writer,nm7248508,https://en.wikipedia.org/wiki/Robin_Bhatt
1000038,Chakraborty,Mithun,1947,,actor,nm0149822,https://en.wikipedia.org/wiki/Mithun_Chakraborty
1000039,Chakraborty,Mahaakshay,1984,,actor,nm3002347,https://en.wikipedia.org/wiki/Mahaakshay_Chakraborty
1000040,Chandravarkar,Leena,1950,,actor,nm0151293,
1000041,Chatterjee,Biswajit,,,actor,nm8707924,https://en.wikipedia.org/wiki/Biswajit_Chatterjee
1000042,Chatterjee,Prosenjit,1962,,actor,nm0154146,https://en.wikipedia.org/wiki/Prosenjit_Chatterjee
1000043,Chopra,Yash,1932,2012,,nm0007181,https://en.wikipedia.org/wiki/Yash_Chopra
1000044,Chopra,B. R. ,1914,2008,,nm0159148,
1000045,Chopra,Pamela,,,singer/producer/writer,,https://en.wikipedia.org/wiki/Pamela_Chopra
1000046,Chopra,Ravi,1946,2014,director,nm0159162,https://en.wikipedia.org/wiki/Ravi_Chopra
1000047,Chopra,Raj,1927,,film other,nm1531347,
1000048,Chopra,Uday,1973,,actor/producer,nm0159167,https://en.wikipedia.org/wiki/Uday_Chopra
1000049,Chopra,Dharam Raj,1924,,film other,,
1000050,Deol,Dharmendra,1935,,actor,nm0004429,https://en.wikipedia.org/wiki/Dharmendra_Deol
1000051,Deol,Sunny,1957,,actor,nm0219971,https://en.wikipedia.org/wiki/Sunny_Deol
1000052,Deol,Bobby,1969,,actor,nm0219967,https://en.wikipedia.org/wiki/Bobby_Deol
1000053,Deol,Abhay,1976,,actor,nm1867717,https://en.wikipedia.org/wiki/Abhay_Deol
1000054,Deol,Esha,1981,,actor,nm0219968,https://en.wikipedia.org/wiki/Esha_Deol
1000055,Deol,Karan,,,actor,nm5376616,
1000056,Deshmukh,Riteish,1978,,actor,nm1299011,https://en.wikipedia.org/wiki/Riteish_Deshmukh
1000057,Deshmukh,Genelia,1987,,,nm1299510,https://en.wikipedia.org/wiki/Genelia_Deshmukh
1000058,Devgan,Veeru,,,actor/other,nm0222428,https://en.wikipedia.org/wiki/Veeru_Devgan
1000059,Devgan,Ajay,1969,,actor,nm0222426,https://en.wikipedia.org/wiki/Ajay_Devgan
1000060,Devgan,Anil,,,director/other,nm0222427,https://en.wikipedia.org/wiki/Anil_Devgan
1000061,Dhawan,Anil,,,actor,nm0223521,https://en.wikipedia.org/wiki/Anil_Dhawan
1000062,Dhawan,David,,,director,nm0223522,https://en.wikipedia.org/wiki/David_Dhawan
1000063,Dhawan,Siddharth,,,actor,nm2102682,
1000064,Dhawan,Varun,1987,,actor,nm3315894,https://en.wikipedia.org/wiki/Varun_Dhawan
1000065,Dhawan,Rohit,,,,nm2539328,https://en.wikipedia.org/wiki/Rohit_Dhawan
1000066,Dutt,Nargis,1929,1981,actor,nm0004291,https://en.wikipedia.org/wiki/Nargis_Dutt
1000067,Dutt,Sunil,1930,2005,actor,nm0004570,https://en.wikipedia.org/wiki/Sunil_Dutt
1000068,Dutt,Sanjay,1959,,actor,nm0004569,https://en.wikipedia.org/wiki/Sanjay_Dutt
1000069,Dutt,Priya,,,politician,nm3571404,https://en.wikipedia.org/wiki/Priya_Dutt
1000070,Ganguly,Ashok Kumar,1911,2001,actor,nm0006369,https://en.wikipedia.org/wiki/Ashok_Kumar_Ganguly
1000071,Ganguly,Anoop Kumar,1926,1997,actor,nm0474780,
1000072,Ganguly,Kishore Kumar,1929,1987,singer/actor,nm0474822,https://en.wikipedia.org/wiki/Kishore_Kumar_Ganguly
1000073,Ganguly,Amit Kumar,1951,,singer,nm0474776,
1000074,Garewal,Simi,1947,,actor,nm0307231,https://en.wikipedia.org/wiki/Simi_Garewal
1000075,Guha Thakurta,Ruma,1934,,singer/actor,nm0346614,https://en.wikipedia.org/wiki/Ruma_Guha_Thakurta
1000076,Hashmi,Emran,1979,,actor,nm1431656,https://en.wikipedia.org/wiki/Emran_Hashmi
1000077,Hussain,Nasir,1926,2002,director/producer/writer,nm0403826,https://en.wikipedia.org/wiki/Nasir_Hussain
1000078,Jaffrey,Saeed,1929,2015,actor,nm0006762,https://en.wikipedia.org/wiki/Saeed_Jaffrey
1000079,Jariwala,Kishore Kumar,,,actor,,
1000080,Jaywant,Nalini,1926,2010,actor,nm0419787,https://en.wikipedia.org/wiki/Nalini_Jaywant
1000081,Johar,Karan,1972,,director/producer,nm0424103,https://en.wikipedia.org/wiki/Karan_Johar
1000082,Johar,Hiroo,1943,,producer,nm0424101,
1000083,Kapadia,Dimple,1957,,actor,nm0438092,https://en.wikipedia.org/wiki/Dimple_Kapadia
1000084,Kapadia,Simple,1958,2009,actor,nm0438098,https://en.wikipedia.org/wiki/Simple_Kapadia
1000085,Kapoor,Kunal,1979,,actor,nm1577858,https://en.wikipedia.org/wiki/Kunal_Kapoor
1000086,Kapoor,Raj,1924,1988,actor/producer/director,nm0004292,https://en.wikipedia.org/wiki/Raj_Kapoor
1000087,Kapoor,Prithviraj,1906,1972,actor,nm0004432,https://en.wikipedia.org/wiki/Prithviraj_Kapoor
1000088,Kapoor,Randhir,1947,,actor/producer,nm0196380,https://en.wikipedia.org/wiki/Randhir_Kapoor
1000089,Kapoor,Babita,1948,,actor,nm0044999,https://en.wikipedia.org/wiki/Babita_Kapoor
1000090,Kapoor,Karisma,1974,,actor,nm0006433,https://en.wikipedia.org/wiki/Karisma_Kapoor
1000091,Kapoor,Kareena,1980,,actor,nm0004626,https://en.wikipedia.org/wiki/Kareena_Kapoor
1000092,Kapoor,Rishi,1952,,actor,nm0438501,https://en.wikipedia.org/wiki/Rishi_Kapoor
1000093,Kapoor,Neetu Singh,1958,,actor,nm0802183,
1000094,Kapoor,Ranbir,1982,,actor,nm1633541,https://en.wikipedia.org/wiki/Ranbir_Kapoor
1000095,Kapoor,Shammi,1931,2011,,nm0004433,https://en.wikipedia.org/wiki/Shammi_Kapoor
1000096,Kapoor,Jeetendra,1942,,actor,nm0420090,
1000097,Kapoor,Neila Devi,,,,,
1000098,Kapoor,Aditya Raj,,,,,https://en.wikipedia.org/wiki/Aditya_Raj_Kapoor
1000099,Kapoor,Kanchan Desai,,,,,
1000100,Kapoor,Shashi,1938,2017,actor/producer,nm0004434,https://en.wikipedia.org/wiki/Shashi_Kapoor
1000101,Kapoor,Jennifer Kendal,1934,1984,actor,nm0447557,
1000102,Kapoor,Karan,,,actor,nm0004430,https://en.wikipedia.org/wiki/Karan_Kapoor
1000103,Kapoor,Sanjana,1967,,actor,nm0438504,https://en.wikipedia.org/wiki/Sanjana_Kapoor
1000104,Kapoor,Shobha,,,producer,nm0438506,https://en.wikipedia.org/wiki/Shobha_Kapoor
1000105,Kapoor,Tusshar,1976,,actor,nm0969428,https://en.wikipedia.org/wiki/Tusshar_Kapoor
1000106,Kapoor,Ekta,1975,,producer,nm0438471,https://en.wikipedia.org/wiki/Ekta_Kapoor
1000107,Kapoor,Jayasudha,,,,,
1000108,Kapoor,Abhishek,,,,,https://en.wikipedia.org/wiki/Abhishek_Kapoor
1000109,Kapoor,Surinder,,,,,https://en.wikipedia.org/wiki/Surinder_Kapoor
1000110,Kapoor,Sonam,,,,,https://en.wikipedia.org/wiki/Sonam_Kapoor
1000111,Kapoor,Rhea,,,,,https://en.wikipedia.org/wiki/Rhea_Kapoor
1000112,Kapoor,Harshvardhan,,,,,https://en.wikipedia.org/wiki/Harshvardhan_Kapoor
1000113,Kapoor,Shakti,,,,,https://en.wikipedia.org/wiki/Shakti_Kapoor
1000114,Kapoor,Shraddha,,,,,https://en.wikipedia.org/wiki/Shraddha_Kapoor
1000115,Kapoor,Shahid,,,,,https://en.wikipedia.org/wiki/Shahid_Kapoor
1000116,Kapoor,Boney,,,,,https://en.wikipedia.org/wiki/Boney_Kapoor
1000117,Kapoor,Sridevi,,,,,https://en.wikipedia.org/wiki/Sridevi_Kapoor
1000118,Kapoor,Anil,,,,,https://en.wikipedia.org/wiki/Anil_Kapoor
1000119,Kapoor,Sanjay,,,,,https://en.wikipedia.org/wiki/Sanjay_Kapoor
1000120,Kapoor,Arjun,,,,,https://en.wikipedia.org/wiki/Arjun_Kapoor
1000121,Kapoor,Janhvi,,,,,
1000122,Kapur,Shekhar,1945,,,,https://en.wikipedia.org/wiki/Shekhar_Kapur
1000123,Khan,Saif Ali ,1970,,,,
1000124,Khan,Shah Rukh,1965,,,,https://en.wikipedia.org/wiki/Shah_Rukh_Khan
1000125,Khan,Salman,1965,,,,https://en.wikipedia.org/wiki/Salman_Khan
1000126,Khan,Aamir,1965,,,,https://en.wikipedia.org/wiki/Aamir_Khan
1000127,Khan,Sohail,1970,,actor,,https://en.wikipedia.org/wiki/Sohail_Khan
1000128,Khan,Salim,1934,,actor/writer,,https://en.wikipedia.org/wiki/Salim_Khan
1000129,Khan,Mansoor,,,director/producer,,https://en.wikipedia.org/wiki/Mansoor_Khan
1000130,Khan,Imraan,1983,,actor,,https://en.wikipedia.org/wiki/Imraan_Khan
1000131,Khan,Arbaaz,1967,,actor/producer/director,,https://en.wikipedia.org/wiki/Arbaaz_Khan
1000132,Khan,Fardeen,1974,,actor,,https://en.wikipedia.org/wiki/Fardeen_Khan
1000133,Khan,Feroze,1939,,actor/producer,,https://en.wikipedia.org/wiki/Feroze_Khan
1000134,Khan,Sanjay,1940,,actor,,https://en.wikipedia.org/wiki/Sanjay_Khan
1000135,Khan,Akbar,1949,,director/writer/producer,,https://en.wikipedia.org/wiki/Akbar_Khan
1000136,Khan,Zayed,1980,,actor,,https://en.wikipedia.org/wiki/Zayed_Khan
1000137,Khan,Nikhat,,,producer,,https://en.wikipedia.org/wiki/Nikhat_Khan
1000138,Khan,Faisal,1966,,actor,,https://en.wikipedia.org/wiki/Faisal_Khan
1000139,Khanna,Rajesh,1942,2012,actor,nm0004435,https://en.wikipedia.org/wiki/Rajesh_Khanna
1000140,Khanna,Rinke,1977,,actor,nm0451392,https://en.wikipedia.org/wiki/Rinke_Khanna
1000141,Khanna,Vinod,1946,2017,actor,,https://en.wikipedia.org/wiki/Vinod_Khanna
1000142,Khanna,Rahul,1972,,actor,,https://en.wikipedia.org/wiki/Rahul_Khanna
1000143,Khanna,Akshaye,1975,,actor,,https://en.wikipedia.org/wiki/Akshaye_Khanna
1000144,Khatter,Rajesh,1966,,actor,,
1000145,Khatter,Ishaan,1995,,actor,,
1000146,Kher ,Anupam,1955,,actor,,
1000147,Kher ,Raju,,,actor,,
1000148,Kher ,Kirron,1955,,actor,,
1000149,Kher ,Sikandar,1980,,actor,,
1000150,Kumar,Sanjeev,1938,1985,actor,,https://en.wikipedia.org/wiki/Sanjeev_Kumar
1000151,Kumar,Akshay,1967,,actor,,https://en.wikipedia.org/wiki/Akshay_Kumar
1000152,Luthria,Milan,,,director,,https://en.wikipedia.org/wiki/Milan_Luthria
1000153,Matondkar,Urmila,1974,,,,https://en.wikipedia.org/wiki/Urmila_Matondkar
1000154,Mirza,Aziz,,,director/producer,,https://en.wikipedia.org/wiki/Aziz_Mirza
1000155,Mirza,Akhtar,,,writer,,https://en.wikipedia.org/wiki/Akhtar_Mirza
1000156,Mirza,Saeed,,,director,,https://en.wikipedia.org/wiki/Saeed_Mirza
1000157,Mukerjee,Ayan,,,director,,
1000158,Mukherjee,Sashadhar,1909,1990,,,https://en.wikipedia.org/wiki/Sashadhar_Mukherjee
1000159,Mukherjee,Gyan,1909,1956,director,,https://en.wikipedia.org/wiki/Gyan_Mukherjee
1000160,Mukherjee,Joy,1939,2012,actor,,https://en.wikipedia.org/wiki/Joy_Mukherjee
1000161,Mukherjee,Deb,,,,,https://en.wikipedia.org/wiki/Deb_Mukherjee
1000162,Mukherjee,Shomu,1943,2008,,,https://en.wikipedia.org/wiki/Shomu_Mukherjee
1000163,Mukherjee,Subodh,1921,2005,,,https://en.wikipedia.org/wiki/Subodh_Mukherjee
1000164,Mukherjee,Rani,1978,,,,https://en.wikipedia.org/wiki/Rani_Mukherjee
1000165,Mukherjee,Sharbani,,,,,https://en.wikipedia.org/wiki/Sharbani_Mukherjee
1000166,Mukherjee,Samrat,,,,,https://en.wikipedia.org/wiki/Samrat_Mukherjee
1000167,Mukherjee,Raja,,,,,https://en.wikipedia.org/wiki/Raja_Mukherjee
1000168,Mukherjee,Tanuja,,,,,https://en.wikipedia.org/wiki/Tanuja_Mukherjee
1000169,Nadiadwala,Sajid,1966,,producer/writer,,https://en.wikipedia.org/wiki/Sajid_Nadiadwala
1000170,Nair,Onjolee,,,director,,https://en.wikipedia.org/wiki/Onjolee_Nair
1000171,Nanda,Nikhil,1974,,business,,https://en.wikipedia.org/wiki/Nikhil_Nanda
1000172,Nanda,Ritu Kapoor,1948,,business,,
1000173,Nanda,Shweta Bachchan,1974,,journalist,,
1000174,Nath,Reema ,,,writer/director,,
